,out.x,properly finished,tight,xc,k_grid,dipole moment x [e*A/f.u.],dipole moment y [e*A/f.u.],dipole moment z [e*A/f.u.],dipole moment magnitude [e*A/f.u.],num atoms,symbols,symbols count,Volume [A^3],a [A],b [A],c [A],alpha,beta,gamma,Etot [eV],max force component [eV/A],phase,host,dopant,dopants_species_number,dopants_count,num D,num M,num O,sc,dopant type,f.u.,concentration [f.u.%],a [sc],b [sc],c [sc],nominal f.u.,nominal concentration [f.u.%],abc [sc],dopant group,dopant period,"host, type",dipole moment perp [e*A/f.u.],crit. d_x,crit. d_y,crit. d_z,crit. d_perp,crit. d_tot,crit. dipole,crit. alpha,crit. beta,crit. gamma,crit. angles,crit. xrd,crit. overall
0,aims/HfO2_H3.1cat_222/LDA/H0/bulk/No14/out.x,True,True,pw-lda,222,-0.0010530228125000005,0.00015598906250000022,-0.00039253593749999946,0.001134581021123676,96,H Hf O,1 31 64,1072.5481103187512,10.16482152060748,10.242136717102436,10.462339826831863,89.88630886420685,79.96070264170639,90.05105596571717,-13207782.1434622,0.0008336847267312019,14,HfO2,H,1,1,1,31,64,8,cat,32.0,3.125,2.0,2.0,2.0,32,3.125,222,1,1,"HfO2, cat",0.001064513800410798,True,True,True,True,True,True,True,True,True,True,True,True
1,aims/HfO2_H3.1cat_222/LDA/H0/bulk/No29/out.x,True,True,pw-lda,222,0.0013278975,0.00042695312500000095,0.01685235,0.01690997638271424,96,H Hf O,1 31 64,1033.7290151730092,9.965918352029377,10.358611841394175,10.013610694927738,89.97940589786616,89.81554628778439,89.90450952277966,-13207780.803692501,0.000698517578509471,29,HfO2,H,1,1,1,31,64,8,cat,32.0,3.125,2.0,2.0,2.0,32,3.125,222,1,1,"HfO2, cat",0.001394847927715963,True,True,True,True,True,True,True,True,True,True,True,True
2,aims/HfO2_H3.1cat_222/LDA/H0/bulk/No61/out.x,True,True,pw-lda,222,-0.0011406768750000006,9.802625000000013e-05,0.0019867806249999997,0.0022930438571305647,96,H Hf O,1 31 64,1073.4066378847754,10.052996360287192,10.211972904224922,10.455892670125904,89.83121412619968,89.97559750437098,90.03787322752834,-13207781.496116498,0.0007540974101626549,61,HfO2,H,1,1,1,31,64,8,cat,32.0,3.125,2.0,2.0,2.0,32,3.125,222,1,1,"HfO2, cat",0.0011448811636361345,True,True,True,True,True,True,True,True,True,True,True,True
3,aims/HfO2_H3.1cat_222/LDA/H0/bulk/No137/out.x,True,True,pw-lda,222,0.0014553390625000006,0.0014773034374999995,0.001455474375,0.002533543544044455,96,H Hf O,1 31 64,1021.325869296546,10.01153433291926,10.189846511079937,10.011528374167456,90.15381225194615,90.13447004959744,90.153825296154,-13207778.4936158,0.000944432918225582,137,HfO2,H,1,1,1,31,64,8,cat,32.0,3.125,2.0,2.0,2.0,32,3.125,222,1,1,"HfO2, cat",0.0020737495589602173,True,True,True,True,True,True,True,True,True,True,True,True
4,aims/HfO2_H6.2cat_122/LDA/H0/bulk/No14/out.x,True,True,pw-lda,422,-0.002465728125,0.0005593287500000019,-0.0008398456250000013,0.002664208045709685,48,H Hf O,1 15 32,537.2951447617778,5.091873545565033,10.23066423031498,10.48235223202816,89.81454390995951,79.72387156971652,90.14632267647512,-6392968.69222935,0.000775120617640774,14,HfO2,H,1,1,1,15,32,4,cat,16.0,6.25,1.0,2.0,2.0,16,6.25,122,1,1,"HfO2, cat",0.0025283717758653648,True,True,True,True,True,True,True,True,True,True,True,True
5,aims/HfO2_H6.2cat_212/LDA/H0/bulk/No14/out.x,True,True,pw-lda,242,0.0005257649999999992,0.0015777356249999995,-0.0007897868750000003,0.0018410436837678255,48,H Hf O,1 15 32,536.16487744888,10.181535332019175,5.121944746275867,10.449759084938359,89.80221305200158,79.70200657762027,90.05920547876578,-6392968.53108912,0.000183670135896089,14,HfO2,H,1,1,1,15,32,4,cat,16.0,6.25,2.0,1.0,2.0,16,6.25,212,1,1,"HfO2, cat",0.001663032933413869,True,True,True,True,True,True,True,True,True,True,True,True
6,aims/HfO2_H6.2cat_221/LDA/H0/bulk/No14/out.x,True,True,pw-lda,224,4.9363749999999356e-05,0.002990606874999999,-0.002836973750000002,0.004122449068066262,48,H Hf O,1 15 32,536.3878098109468,10.154524482653503,10.264690128083725,5.226235927531078,90.47177376854722,79.97530680696053,89.55108998734082,-6392970.15446566,0.000692659298112981,14,HfO2,H,1,1,1,15,32,4,cat,16.0,6.25,2.0,2.0,1.0,16,6.25,221,1,1,"HfO2, cat",0.0029910142528265095,True,True,True,True,True,True,True,True,True,True,True,True
7,aims/HfO2_H6.2cat_122/LDA/H0/bulk/No29/out.x,True,True,pw-lda,422,0.0027153925,0.001322901250000001,0.015556584374999996,0.015847105147717103,48,H Hf O,1 15 32,518.204372872921,4.977158162671773,10.354524712489686,10.055470548384331,89.9425544271809,89.60206735194247,89.81546401037285,-6392968.15821881,0.0009873337667335401,29,HfO2,H,1,1,1,15,32,4,cat,16.0,6.25,1.0,2.0,2.0,16,6.25,122,1,1,"HfO2, cat",0.003020500644977222,True,True,True,True,True,True,True,True,True,True,True,True
8,aims/HfO2_H6.2cat_212/LDA/H0/bulk/No29/out.x,True,True,pw-lda,242,0.00280583625,0.0007888581250000001,0.015804674999999997,0.01607117811670375,48,H Hf O,1 15 32,516.8563993315148,9.982360084416054,5.162884538891611,10.029107580879508,89.92092308458555,89.5097001206708,89.83800419506106,-6392968.09614032,0.000856069981524381,29,HfO2,H,1,1,1,15,32,4,cat,16.0,6.25,2.0,1.0,2.0,16,6.25,212,1,1,"HfO2, cat",0.002914620764901083,True,True,True,True,True,True,True,True,True,True,True,True
9,aims/HfO2_H6.2cat_221/LDA/H0/bulk/No29/out.x,True,True,pw-lda,224,0.0037169950000000007,-0.0012333400000000005,0.018026045625000004,0.01844655795155852,48,H Hf O,1 15 32,519.0097123956173,10.003923158412734,10.388428598871998,4.994991281911996,89.41350520072547,89.61274599779203,89.15512894185079,-6392969.5453807,0.000588384121453846,29,HfO2,H,1,1,1,15,32,4,cat,16.0,6.25,2.0,2.0,1.0,16,6.25,221,1,1,"HfO2, cat",0.003916271107268368,True,True,True,True,True,True,True,True,True,True,True,True
