,chemical formula,supercell,phase,i,degeneracy,total energy [eV],ref. total energy [meV/f.u.],directory
0,Hf31O64Si,222,14,1,1,-13215650.937874401,0.0,Hf31O64Si_sc222/No14/1
1,Hf31O64Si,222,29,1,1,-13215649.416305901,47.54901558160782,Hf31O64Si_sc222/No29/1
2,Hf31O64Si,222,61,1,1,-13215650.1487012,24.66166251897812,Hf31O64Si_sc222/No61/1
3,Hf31O64Si,222,137,1,1,-13215648.6660696,70.99389994144441,Hf31O64Si_sc222/No137/1
4,Hf30O64Si2,222,14,1,1,-12801675.6598604,-16.29295325279236,Hf30O64Si2_sc222/No14/1
5,Hf30O64Si2,222,29,1,1,-12801673.9428716,37.36294680833817,Hf30O64Si2_sc222/No29/1
6,Hf30O64Si2,222,61,1,1,-12801674.8314048,9.59628438949585,Hf30O64Si2_sc222/No61/1
7,Hf30O64Si2,222,137,1,2,-12801675.1403873,-0.059418797492980964,Hf30O64Si2_sc222/No137/1
8,Hf30O64Si2,222,14,2,1,-12801675.4223624,-8.871140599250793,Hf30O64Si2_sc222/No14/2
9,Hf30O64Si2,222,29,2,1,-12801674.7473616,12.222634315490724,Hf30O64Si2_sc222/No29/2
10,Hf30O64Si2,222,61,2,1,-12801674.6443668,15.441221833229065,Hf30O64Si2_sc222/No61/2
11,Hf30O64Si2,222,137,2,1,-12801675.1422021,-0.1161312460899353,Hf30O64Si2_sc222/No137/2
12,Hf30O64Si2,222,14,3,1,-12801675.1538345,-0.4796437621116638,Hf30O64Si2_sc222/No14/3
13,Hf30O64Si2,222,29,3,1,-12801673.532314999,50.19284057617188,Hf30O64Si2_sc222/No29/3
14,Hf30O64Si2,222,61,3,1,-12801674.369461099,24.03202497959137,Hf30O64Si2_sc222/No61/3
15,Hf30O64Si2,222,137,3,2,-12801674.380386801,23.690596878528595,Hf30O64Si2_sc222/No137/3
16,Hf30O64Si2,222,14,4,1,-12801675.2228319,-2.6358124613761897,Hf30O64Si2_sc222/No14/4
17,Hf30O64Si2,222,29,4,1,-12801673.9248005,37.927668690681465,Hf30O64Si2_sc222/No29/4
18,Hf30O64Si2,222,61,4,2,-12801674.673863001,14.519465565681458,Hf30O64Si2_sc222/No61/4
19,Hf30O64Si2,222,14,5,1,-12801675.233500099,-2.9691938161849976,Hf30O64Si2_sc222/No14/5
20,Hf30O64Si2,222,137,4,1,-12801674.3803824,23.690734326839447,Hf30O64Si2_sc222/No137/4
21,Hf30O64Si2,222,14,6,1,-12801674.8694505,8.407356202602386,Hf30O64Si2_sc222/No14/6
22,Hf30O64Si2,222,29,5,1,-12801673.8540885,40.137418687343605,Hf30O64Si2_sc222/No29/5
23,Hf30O64Si2,222,61,5,2,-12801674.685547,14.15434068441391,Hf30O64Si2_sc222/No61/5
24,Hf30O64Si2,222,14,7,1,-12801675.0476638,2.8381905555725098,Hf30O64Si2_sc222/No14/7
25,Hf30O64Si2,222,137,5,1,-12801674.4292606,22.163290560245514,Hf30O64Si2_sc222/No137/5
26,Hf30O64Si2,222,14,8,2,-12801675.412355099,-8.558412492275236,Hf30O64Si2_sc222/No14/8
27,Hf30O64Si2,222,29,6,2,-12801673.6986959,44.99343740940094,Hf30O64Si2_sc222/No29/6
28,Hf30O64Si2,222,61,6,2,-12801674.442875698,21.737818777561188,Hf30O64Si2_sc222/No61/6
29,Hf30O64Si2,222,137,6,8,-12801674.5320712,18.950459361076355,Hf30O64Si2_sc222/No137/6
30,Hf30O64Si2,222,61,7,2,-12801674.4534061,21.408743739128113,Hf30O64Si2_sc222/No61/7
31,Hf30O64Si2,222,14,9,2,-12801675.4481791,-9.677912533283235,Hf30O64Si2_sc222/No14/9
32,Hf30O64Si2,222,29,7,2,-12801674.1932256,29.539384365081787,Hf30O64Si2_sc222/No29/7
33,Hf30O64Si2,222,14,10,2,-12801675.0931069,1.418093740940094,Hf30O64Si2_sc222/No14/10
34,Hf30O64Si2,222,29,8,2,-12801673.7195831,44.34071242809296,Hf30O64Si2_sc222/No29/8
35,Hf30O64Si2,222,61,8,2,-12801674.1567815,30.678262531757355,Hf30O64Si2_sc222/No61/8
36,Hf30O64Si2,222,137,7,8,-12801674.280181099,26.822024881839752,Hf30O64Si2_sc222/No137/7
37,Hf30O64Si2,222,14,11,2,-12801675.024168,3.572434365749359,Hf30O64Si2_sc222/No14/11
38,Hf30O64Si2,222,29,9,2,-12801673.2103559,60.254062473773956,Hf30O64Si2_sc222/No29/9
39,Hf30O64Si2,222,61,9,2,-12801674.800238,10.5702468752861,Hf30O64Si2_sc222/No61/9
40,Hf30O64Si2,222,14,12,2,-12801675.138485901,0.0,Hf30O64Si2_sc222/No14/12
41,Hf30O64Si2,222,29,10,2,-12801674.7391852,12.478146851062775,Hf30O64Si2_sc222/No29/10
42,Hf30O64Si2,222,61,10,1,-12801674.4029751,22.984712421894073,Hf30O64Si2_sc222/No61/10
43,Hf30O64Si2,222,14,13,2,-12801675.0804896,1.812384366989136,Hf30O64Si2_sc222/No14/13
44,Hf30O64Si2,222,29,11,2,-12801673.4509632,52.73508435487747,Hf30O64Si2_sc222/No29/11
45,Hf30O64Si2,222,61,11,1,-12801674.417017698,22.545881271362305,Hf30O64Si2_sc222/No61/11
46,Hf30O64Si2,222,61,12,1,-12801673.989775699,35.89719378948212,Hf30O64Si2_sc222/No61/12
47,Hf30O64Si2,222,61,13,1,-12801674.346730499,24.742356181144714,Hf30O64Si2_sc222/No61/13
48,Hf30O64Si2,222,14,14,2,-12801674.8336819,9.525124967098236,Hf30O64Si2_sc222/No14/14
49,Hf30O64Si2,222,29,12,2,-12801673.85027,40.25674688816071,Hf30O64Si2_sc222/No29/12
50,Hf30O64Si2,222,61,14,1,-12801674.3301517,25.26044374704361,Hf30O64Si2_sc222/No61/14
